13|6893|4669|6392
13|6893|4670|18264
13|6894|4669|22976
13|6894|4670|65544
13|6895|4669|11214
13|6895|4670|48472
13|6905|4702|25914
13|6906|4702|4134
13|6907|4663|2398
13|6907|4701|178
13|6907|4702|6298
13|6907|4703|300
13|6909|4666|272
13|6910|4665|12916
13|6910|4666|102654
13|6910|4667|10666
13|6910|4707|6838
13|6911|4665|11966
13|6911|4666|121578
13|6911|4667|48870
13|6911|4668|15830
13|6912|4659|624
13|6912|4660|36756
13|6912|4665|40310
13|6912|4666|149186
13|6912|4667|145388
13|6912|4668|125636
13|6912|4669|53656
13|6913|4659|244
13|6913|4660|13558
13|6913|4665|58204
13|6913|4666|147686
13|6913|4667|153672
13|6913|4668|124612
13|6913|4669|12638
13|6913|4670|4440
13|6914|4665|72760
13|6914|4666|132096
13|6914|4667|152394
13|6914|4668|125970
13|6915|4664|1718
13|6915|4665|11898
13|6915|4666|74928
13|6915|4667|143558
13|6915|4668|49302
13|6916|4664|12300
13|6916|4666|1602
13|6916|4667|26288
13|6916|4668|398
13|6917|4664|12100
